id,Title,_numero_de_quartos,_tipo_do_empreendimento,_status,_cidade,_imagem_principal,_logradouro
228406,"Sunset Itapecuru",,,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
228453,"Neo Alphaville",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
228584,Signature,,,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
228614,"Ekko Live Alpha One - Casas",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
228679,"Vista Alta",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
228683,Vitra,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
228713,MOB,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
228729,"Ekko Live Alpha One - Apartamentos",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
228771,"Ekko Live 2 Alpha Senses",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
228772,Garden,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
229019,Altto,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
229020,Ápice,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
229120,"Infinity Home Club",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
229161,Trend,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
229509,Griffe,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
229514,Art,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
229515,"Air Home Clube & Residences",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
229516,Marcco,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
229517,Natu,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
229520,"DUQ Central Houses",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
229521,"Canto da Mata",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
229523,"Alto da Mata",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
229638,Iconic,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
229673,"Helbor New Patteo",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
229720,Legend,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
229863,Fiori,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
229864,Shape,,,field_62c736f16fae5,,field_6389e886bcade,field_637f6d16d2773
229928,"On The Park",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
229929,Oásis,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230039,Singular,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230070,"Hum Bela vista",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230281,"Residencial Aut 2750",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230347,"HM Smart",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230365,Epic,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230368,"Breeze Residencial",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230432,"Aquarela Home",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230451,"Raro Vila Isabel",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230470,"Orla Condomínio Praia",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230503,"PIN Osasco",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230539,"The Way",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230558,Station,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230584,"Giardino Golf Residenziale",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230614,"Mix Altino",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230651,"Enjoy Home Club",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230679,"Station 2",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230698,"Sole Bela Vista",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230723,Celebra,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230777,MOBI,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230778,"Viva RSF",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230824,Look,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230854,"Lumini Clube Residencial",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230882,"Bless Armênia",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230913,"Demais Bela Vista",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230948,Seleto,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230964,"Saldanha Park 650",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
230983,"Canvas HUB 111",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
231017,"Ekko Yard",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
231041,"Zatz Vitrine",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
231061,"Zatz Advanced",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
231088,"Ekko Live 3 e 4 Alpha - Casas",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
231140,"Ekko Live 3 e 4 Alpha - Apartamentos",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
231154,"Icon Residencial",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
231192,"Ekko Outline",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
231236,"Vista Golf",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
231305,"Ekko Alto da Mata",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
231336,"Alto da Mata",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
231337,"Reserva Golf Residencial",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
231429,"Smart Flow",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
231457,"Smart Connect",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
231484,"Smart Golf",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
231590,"Smart Sky",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
231617,"Smart Moment",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
231647,"Smart Soul",field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
232001,Florà,field_62c736d1a41c6,field_62c735dce7eae,field_62c736f16fae5,field_64b182f0be9fc,field_6389e886bcade,field_637f6d16d2773
