id,Title,numero_de_quartos,planta_do_empreendimento,cidade,imagem_principal,valor
228406,"Sunset Itapecuru",,"a:4:{i:0;s:6:""228674"";i:1;s:6:""228481"";i:2;s:6:""228482"";i:3;s:6:""228676"";}",,228496,"R$ 2.500.000,00"
228453,"Neo Alphaville",,"a:6:{i:0;s:6:""228534"";i:1;s:6:""228535"";i:2;s:6:""228536"";i:3;s:6:""228537"";i:4;s:6:""228538"";i:5;s:6:""228684"";}",,228685,"R$ 2.100.000,00"
228584,Signature,,"a:5:{i:0;s:6:""228940"";i:1;s:6:""228937"";i:2;s:6:""228939"";i:3;s:6:""228938"";i:4;s:6:""228936"";}",,228942,"R$ 5.475.000,00"
228614,"Ekko Live Alpha One - Casas",,"a:8:{i:0;s:6:""228619"";i:1;s:6:""228620"";i:2;s:6:""228621"";i:3;s:6:""228622"";i:4;s:6:""228648"";i:5;s:6:""228647"";i:6;s:6:""228646"";i:7;s:6:""228645"";}",,228624,"R$ 2.800.000,00"
228679,"Vista Alta",,"a:4:{i:0;s:6:""228511"";i:1;s:6:""228510"";i:2;s:6:""228508"";i:3;s:6:""228509"";}",,228502,"R$ 1.700.000,00"
228683,Vitra,,"a:4:{i:0;s:6:""228571"";i:1;s:6:""228572"";i:2;s:6:""228573"";i:3;s:6:""228574"";}",,228581,"R$ 1.300.000,00"
228713,MOB,,"a:10:{i:0;s:6:""228703"";i:1;s:6:""228702"";i:2;s:6:""228712"";i:3;s:6:""228711"";i:4;s:6:""228709"";i:5;s:6:""228708"";i:6;s:6:""228714"";i:7;s:6:""228715"";i:8;s:6:""228704"";i:9;s:6:""228705"";}",,228686,"R$ 250.000,00"
228729,"Ekko Live Alpha One - Apartamentos",,"a:5:{i:0;s:6:""228730"";i:1;s:6:""228731"";i:2;s:6:""228720"";i:3;s:6:""228721"";i:4;s:6:""228717"";}",,228732,"R$ 1.500.000,00"
228771,"Ekko Live 2 Alpha Senses",,"a:15:{i:0;s:6:""228761"";i:1;s:6:""228762"";i:2;s:6:""228763"";i:3;s:6:""228764"";i:4;s:6:""228765"";i:5;s:6:""228766"";i:6;s:6:""228767"";i:7;s:6:""228768"";i:8;s:6:""228769"";i:9;s:6:""228770"";i:10;s:6:""228756"";i:11;s:6:""228757"";i:12;s:6:""228758"";i:13;s:6:""228759"";i:14;s:6:""228760"";}",,228734,"R$ 2.500.000,00"
228772,Garden,,"a:4:{i:0;s:6:""228780"";i:1;s:6:""228782"";i:2;s:6:""228784"";i:3;s:6:""228785"";}",,228773,"R$ 3.000.000,00"
229019,Altto,,"a:16:{i:0;s:6:""229022"";i:1;s:6:""229021"";i:2;s:6:""229035"";i:3;s:6:""229033"";i:4;s:6:""229032"";i:5;s:6:""229031"";i:6;s:6:""229030"";i:7;s:6:""229027"";i:8;s:6:""229029"";i:9;s:6:""229028"";i:10;s:6:""229026"";i:11;s:6:""229025"";i:12;s:6:""229024"";i:13;s:6:""229023"";i:14;s:6:""229036"";i:15;s:6:""229037"";}",,230582,"R$ 480.000,00"
229020,Ápice,,"a:6:{i:0;s:6:""229119"";i:1;s:6:""229118"";i:2;s:6:""229116"";i:3;s:6:""229117"";i:4;s:6:""229080"";i:5;s:6:""229079"";}",,229121,"R$ 580.000,00"
